date,region,product,units,revenue
2025-01-01,West,Gadget,18,9000
2025-01-01,East,Widget,25,5000
2025-01-01,Central,Gizmo,32,9600
2025-01-01,South,Gadget,39,19500
2025-01-02,West,Widget,46,9200
2025-01-02,East,Gizmo,53,15900
2025-01-02,Central,Gadget,60,30000
2025-01-03,South,Widget,24,4800
2025-01-03,West,Gizmo,31,9300
2025-01-03,East,Gadget,38,19000
2025-01-03,Central,Widget,45,9000
2025-01-04,South,Gizmo,52,15600
2025-01-04,West,Gadget,59,29500
2025-01-04,East,Widget,23,4600
2025-01-05,Central,Gizmo,30,9000
2025-01-05,South,Gadget,37,18500
2025-01-05,West,Widget,44,8800
2025-01-06,East,Gizmo,51,15300
2025-01-06,Central,Gadget,58,29000
2025-01-06,South,Widget,22,4400
2025-01-06,West,Gizmo,29,8700
2025-01-07,East,Gadget,36,18000
2025-01-07,Central,Widget,43,8600
2025-01-07,South,Gizmo,50,15000
2025-01-08,West,Gadget,57,28500
2025-01-08,East,Widget,21,4200
2025-01-08,Central,Gizmo,28,8400
2025-01-09,South,Gadget,35,17500
2025-01-09,West,Widget,42,8400
2025-01-09,East,Gizmo,49,14700
2025-01-09,Central,Gadget,56,28000
2025-01-10,South,Widget,20,4000
2025-01-10,West,Gizmo,27,8100
2025-01-10,East,Gadget,34,17000
2025-01-11,Central,Widget,41,8200
2025-01-11,South,Gizmo,48,14400
2025-01-11,West,Gadget,55,27500
2025-01-12,East,Widget,19,3800
2025-01-12,Central,Gizmo,26,7800
2025-01-12,South,Gadget,33,16500
2025-01-12,West,Widget,40,8000
2025-01-13,East,Gizmo,47,14100
2025-01-13,Central,Gadget,54,27000
2025-01-13,South,Widget,18,3600
2025-01-14,West,Gizmo,25,7500
2025-01-14,East,Gadget,32,16000
2025-01-14,Central,Widget,39,7800
2025-01-14,South,Gizmo,46,13800
2025-01-15,West,Gadget,53,26500
2025-01-15,East,Widget,60,12000
2025-01-15,Central,Gizmo,24,7200
2025-01-16,South,Gadget,31,15500
2025-01-16,West,Widget,38,7600
2025-01-16,East,Gizmo,45,13500
2025-01-17,Central,Gadget,52,26000
2025-01-17,South,Widget,59,11800
2025-01-17,West,Gizmo,23,6900
2025-01-17,East,Gadget,30,15000
2025-01-18,Central,Widget,37,7400
2025-01-18,South,Gizmo,44,13200
2025-01-18,West,Gadget,51,25500
2025-01-19,East,Widget,58,11600
2025-01-19,Central,Gizmo,22,6600
2025-01-19,South,Gadget,29,14500
2025-01-20,West,Widget,36,7200
2025-01-20,East,Gizmo,43,12900
2025-01-20,Central,Gadget,50,25000
2025-01-20,South,Widget,57,11400
2025-01-21,West,Gizmo,21,6300
2025-01-21,East,Gadget,28,14000
2025-01-21,Central,Widget,35,7000
2025-01-22,South,Gizmo,42,12600
2025-01-22,West,Gadget,49,24500
2025-01-22,East,Widget,56,11200
2025-01-23,Central,Gizmo,20,6000
2025-01-23,South,Gadget,27,13500
2025-01-23,West,Widget,34,6800
2025-01-23,East,Gizmo,41,12300
2025-01-24,Central,Gadget,48,24000
2025-01-24,South,Widget,55,11000
2025-01-24,West,Gizmo,19,5700
2025-01-25,East,Gadget,26,13000
2025-01-25,Central,Widget,33,6600
2025-01-25,South,Gizmo,40,12000
2025-01-26,West,Gadget,47,23500
2025-01-26,East,Widget,54,10800
2025-01-26,Central,Gizmo,18,5400
2025-01-26,South,Gadget,25,12500
2025-01-27,West,Widget,32,6400
2025-01-27,East,Gizmo,39,11700
2025-01-27,Central,Gadget,46,23000
2025-01-28,South,Widget,53,10600
2025-01-28,West,Gizmo,60,18000
2025-01-28,East,Gadget,24,12000
2025-01-28,Central,Widget,31,6200
2025-01-29,South,Gizmo,38,11400
2025-01-29,West,Gadget,45,22500
2025-01-29,East,Widget,52,10400
2025-01-30,Central,Gizmo,59,17700
2025-01-30,South,Gadget,23,11500
2025-01-30,West,Widget,30,6000
2025-01-31,East,Gizmo,37,11100
2025-01-31,Central,Gadget,44,22000
2025-01-31,South,Widget,51,10200
2025-01-31,West,Gizmo,58,17400
2025-02-01,East,Gadget,22,11000
